"","Row","view","time","name"
"421",176,32329,"2016-03-24","Bernie_Sanders"
"422",177,30295,"2016-03-25","Bernie_Sanders"
"423",178,54630,"2016-03-26","Bernie_Sanders"
"424",179,82714,"2016-03-27","Bernie_Sanders"
"425",180,54402,"2016-03-28","Bernie_Sanders"
"426",181,45312,"2016-03-29","Bernie_Sanders"
"427",182,41002,"2016-03-30","Bernie_Sanders"
"428",183,40610,"2016-03-31","Bernie_Sanders"
"429",184,41345,"2016-04-01","Bernie_Sanders"
"430",185,38946,"2016-04-02","Bernie_Sanders"
"431",186,35888,"2016-04-03","Bernie_Sanders"
"432",187,34814,"2016-04-04","Bernie_Sanders"
"433",188,42663,"2016-04-05","Bernie_Sanders"
"434",189,89895,"2016-04-06","Bernie_Sanders"
"435",190,62453,"2016-04-07","Bernie_Sanders"
"436",191,62515,"2016-04-08","Bernie_Sanders"
"437",192,48780,"2016-04-09","Bernie_Sanders"
"438",193,55075,"2016-04-10","Bernie_Sanders"
"439",194,44791,"2016-04-11","Bernie_Sanders"
"440",195,39109,"2016-04-12","Bernie_Sanders"
"441",196,39553,"2016-04-13","Bernie_Sanders"
"442",197,55595,"2016-04-14","Bernie_Sanders"
"443",198,94494,"2016-04-15","Bernie_Sanders"
"444",199,59401,"2016-04-16","Bernie_Sanders"
"445",200,51122,"2016-04-17","Bernie_Sanders"
"446",201,50731,"2016-04-18","Bernie_Sanders"
"447",202,63932,"2016-04-19","Bernie_Sanders"
"448",203,62563,"2016-04-20","Bernie_Sanders"
"449",204,32177,"2016-04-21","Bernie_Sanders"
"450",205,22439,"2016-04-22","Bernie_Sanders"
"451",206,18504,"2016-04-23","Bernie_Sanders"
"452",207,21732,"2016-04-24","Bernie_Sanders"
"453",208,23352,"2016-04-25","Bernie_Sanders"
"454",209,28658,"2016-04-26","Bernie_Sanders"
"455",210,37973,"2016-04-27","Bernie_Sanders"
"456",211,24625,"2016-04-28","Bernie_Sanders"
"457",212,21330,"2016-04-29","Bernie_Sanders"
"458",213,15956,"2016-04-30","Bernie_Sanders"
"459",214,20112,"2016-05-01","Bernie_Sanders"
"460",215,20497,"2016-05-02","Bernie_Sanders"
"461",216,22071,"2016-05-03","Bernie_Sanders"
"462",217,58233,"2016-05-04","Bernie_Sanders"
"463",218,35232,"2016-05-05","Bernie_Sanders"
"464",219,26124,"2016-05-06","Bernie_Sanders"
"465",220,23413,"2016-05-07","Bernie_Sanders"
"466",221,23021,"2016-05-08","Bernie_Sanders"
"467",222,22860,"2016-05-09","Bernie_Sanders"
"468",223,24708,"2016-05-10","Bernie_Sanders"
"469",224,39313,"2016-05-11","Bernie_Sanders"
"470",225,22765,"2016-05-12","Bernie_Sanders"
"471",226,18453,"2016-05-13","Bernie_Sanders"
"472",227,15690,"2016-05-14","Bernie_Sanders"
"473",228,17778,"2016-05-15","Bernie_Sanders"
"474",229,19901,"2016-05-16","Bernie_Sanders"
"475",230,23479,"2016-05-17","Bernie_Sanders"
"476",231,36762,"2016-05-18","Bernie_Sanders"
"477",232,25963,"2016-05-19","Bernie_Sanders"
"478",233,19513,"2016-05-20","Bernie_Sanders"
"479",234,16116,"2016-05-21","Bernie_Sanders"
"480",235,21274,"2016-05-22","Bernie_Sanders"
"481",236,21754,"2016-05-23","Bernie_Sanders"
"482",237,22009,"2016-05-24","Bernie_Sanders"
"483",238,20034,"2016-05-25","Bernie_Sanders"
"484",239,24183,"2016-05-26","Bernie_Sanders"
"485",240,25912,"2016-05-27","Bernie_Sanders"
"486",241,26391,"2016-05-28","Bernie_Sanders"
"487",242,23651,"2016-05-29","Bernie_Sanders"
"488",243,20877,"2016-05-30","Bernie_Sanders"
"489",244,22820,"2016-05-31","Bernie_Sanders"
"490",245,19442,"2016-06-01","Bernie_Sanders"
"491",1,29442,"2015-10-01","Barack_Obama"
"492",2,35124,"2015-10-02","Barack_Obama"
"493",3,28251,"2015-10-03","Barack_Obama"
"494",4,34347,"2015-10-04","Barack_Obama"
"495",5,32527,"2015-10-05","Barack_Obama"
"496",6,29494,"2015-10-06","Barack_Obama"
"497",7,30702,"2015-10-07","Barack_Obama"
"498",8,28807,"2015-10-08","Barack_Obama"
"499",9,26387,"2015-10-09","Barack_Obama"
"500",10,24590,"2015-10-10","Barack_Obama"
"501",11,34962,"2015-10-11","Barack_Obama"
"502",12,41542,"2015-10-12","Barack_Obama"
"503",13,33109,"2015-10-13","Barack_Obama"
"504",14,37614,"2015-10-14","Barack_Obama"
"505",15,30804,"2015-10-15","Barack_Obama"
"506",16,27865,"2015-10-16","Barack_Obama"
"507",17,23358,"2015-10-17","Barack_Obama"
"508",18,25623,"2015-10-18","Barack_Obama"
"509",19,28632,"2015-10-19","Barack_Obama"
"510",20,32915,"2015-10-20","Barack_Obama"
"511",21,31597,"2015-10-21","Barack_Obama"
"512",22,30535,"2015-10-22","Barack_Obama"
"513",23,26448,"2015-10-23","Barack_Obama"
"514",24,22129,"2015-10-24","Barack_Obama"
"515",25,23056,"2015-10-25","Barack_Obama"
"516",26,25150,"2015-10-26","Barack_Obama"
"517",27,26057,"2015-10-27","Barack_Obama"
"518",28,35904,"2015-10-28","Barack_Obama"
"519",29,29615,"2015-10-29","Barack_Obama"
"520",30,24048,"2015-10-30","Barack_Obama"
"521",31,20529,"2015-10-31","Barack_Obama"
"522",32,22396,"2015-11-01","Barack_Obama"
"523",33,26883,"2015-11-02","Barack_Obama"
"524",34,31307,"2015-11-03","Barack_Obama"
"525",35,30037,"2015-11-04","Barack_Obama"
"526",36,27812,"2015-11-05","Barack_Obama"
"527",37,26750,"2015-11-06","Barack_Obama"
"528",38,23945,"2015-11-07","Barack_Obama"
"529",39,24750,"2015-11-08","Barack_Obama"
"530",40,28096,"2015-11-09","Barack_Obama"
"531",41,29184,"2015-11-10","Barack_Obama"
"532",42,28972,"2015-11-11","Barack_Obama"
"533",43,26503,"2015-11-12","Barack_Obama"
"534",44,24624,"2015-11-13","Barack_Obama"
"535",45,30391,"2015-11-14","Barack_Obama"
"536",46,32686,"2015-11-15","Barack_Obama"
"537",47,37106,"2015-11-16","Barack_Obama"
